ID,Тип,марка,вид,Страна,форма,Оборот,Иерархия1,Иерархия2,Иерархия3,Иерархия4,Иерархия5,,,,
269,Пиво,Erdinger Weißbier,Hefeweizen,Германия,Другое,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
270,Пиво,Tucher Helles Hefe Weizen,Hefeweizen,Германия,Квадрат,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
271,Пиво,Балтика 8,Hefeweizen,Россия,Квадрат,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
272,Лимонад,Schweppes,Лимонад,Швейцария,Квадрат,Нет,-,,,,,,,,
273,Пиво,Amstel,Lager,Голландия,Квадрат,Да,Lager,,,,,,,,
274,Пиво,Klášter,Pilsner,Чехия,Ромб,Да,Lager,Pilsner,,,,,,,
275,Пиво,Newcastle Brown Ale,Brown Ale,Англия,Квадрат,Да,Ale,Brown Ale,,,,,,,
276,Джин,Original GIN,Gin,Финляндия,Ромб,Да,-,,,,,,,,
277,Пиво,FranziskanerWeissbier,Hefeweizen,Германия,Квадрат,Да,Ale,German Ale,Weissbier,Hefeweizen,,,,,
278,Заведение,Belhaven Brewery,Пивоварня,Шотландия,Квадрат,Да,-,,,,,,,,
279,Пиво,Балтика 7,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
280,Заведение,Cista trubka,Ресторан,Чехия,Ромб,Да,-,,,,,,,,
